,Model,Classifier,Accuracy,Balanced Score,F1 Score
0,0,Random Forest,0.6467400907002768,0.336718559663519,0.6753466479768687
1,0,SVC,0.6486836680605453,0.2049750241558049,0.6228213356122976
2,0,XGBoost,0.6535131633193946,0.3528691722955012,0.6816271274399095
3,1,Random Forest,0.6593801555503181,0.3275657240390736,0.690583937019208
4,1,SVC,0.6069997643176998,0.2474821382212449,0.6665490254009984
5,1,XGBoost,0.666686306858355,0.3637033590069539,0.6927291905786602
6,2,Random Forest,0.8392646712231911,0.6641196836536543,0.856513286256951
7,2,SVC,0.7933655432477021,0.5763496524928553,0.8283340958670322
8,2,XGBoost,0.8333726137167099,0.6467361784133914,0.8539743824114824
